board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,0,0,1,0,127,-642.824,14.903,1,1,0
0,0,1,1,0,95,-603.969,11.901,1,1,0
0,0,2,1,0,63,-563.262,12.6791,1,1,0
0,0,3,1,0,31,-545.711,11.5031,1,1,0
0,0,4,1,0,119,-630.843,13.9395,1,1,0
0,0,5,1,0,87,-588.579,11.4725,1,1,0
0,0,6,1,0,55,-569.749,13.313,1,1,0
0,0,7,1,0,23,-546.708,11.7686,1,1,0
0,0,8,1,0,111,-619.026,13.3534,1,1,0
0,0,9,1,0,79,-598.533,11.5766,1,1,0
0,0,10,1,0,47,-561.586,11.8694,1,1,0
0,0,11,1,0,15,-536.209,11.8686,1,1,0
0,0,12,1,0,103,-610.678,13.9949,1,1,0
0,0,13,1,0,71,-583.352,11.3315,1,1,0
0,0,14,1,0,39,-554.675,11.4016,1,1,0
0,0,15,1,0,7,-537.519,11.7977,1,1,0
0,0,16,1,0,126,-626.659,14.8233,1,1,0
0,0,17,1,0,94,-595.238,11.683,1,1,0
0,0,18,1,0,62,-554.144,11.2372,1,1,0
0,0,19,1,0,30,-535.394,10.6769,1,1,0
0,0,20,1,0,118,-636.799,13.6834,1,1,0
0,0,21,1,0,86,-589.136,11.3499,1,1,0
0,0,22,1,0,54,-553.221,10.2502,1,1,0
0,0,23,1,0,22,-542.618,10.615,1,1,0
0,0,24,1,0,110,-618.422,13.2752,1,1,0
0,0,25,1,0,78,-582.356,11.2984,1,1,0
0,0,26,1,0,46,-560.738,10.3058,1,1,0
0,0,27,1,0,14,-527.322,10.9522,1,1,0
0,0,28,1,0,102,-610.734,12.4094,1,1,0
0,0,29,1,0,70,-583.326,10.7783,1,1,0
0,0,30,1,0,38,-555.452,10.2165,1,1,0
0,0,31,1,0,6,-537.362,11.1579,1,1,0
0,0,32,1,0,125,-638.512,14.5767,1,1,0
0,0,33,1,0,93,-608.944,12.2182,1,1,0
0,0,34,1,0,61,-562.938,12.3753,1,1,0
0,0,35,1,0,29,-540.634,11.524,1,1,0
0,0,36,1,0,117,-618.948,13.7814,1,1,0
0,0,37,1,0,85,-582.75,11.6211,1,1,0
0,0,38,1,0,53,-561.041,12.2703,1,1,0
0,0,39,1,0,21,-535.802,11.8445,1,1,0
0,0,40,1,0,109,-614.761,14.1251,1,1,0
0,0,41,1,0,77,-571.568,11.9316,1,1,0
0,0,42,1,0,45,-544.935,12.3841,1,1,0
0,0,43,1,0,13,-545.993,11.7198,1,1,0
0,0,44,1,0,101,-615.199,13.2199,1,1,0
0,0,45,1,0,69,-567.812,12.3722,1,1,0
0,0,46,1,0,37,-559.284,11.3288,1,1,0
0,0,47,1,0,5,-534.456,12.2739,1,1,0
0,0,48,1,0,124,-622.683,14.3693,1,1,0
0,0,49,1,0,92,-586.731,11.4913,1,1,0
0,0,50,1,0,60,-552.832,10.7404,1,1,0
0,0,51,1,0,28,-542.459,10.6148,1,1,0
0,0,52,1,0,116,-622.879,13.1401,1,1,0
0,0,53,1,0,84,-588.786,11.1878,1,1,0
0,0,54,1,0,52,-551.622,10.3038,1,1,0
0,0,55,1,0,20,-545.979,10.6349,1,1,0
0,0,56,1,0,108,-612.64,12.9137,1,1,0
0,0,57,1,0,76,-599.115,10.9821,1,1,0
0,0,58,1,0,44,-551.133,10.5944,1,1,0
0,0,59,1,0,12,-540.647,10.9866,1,1,0
0,0,60,1,0,100,-595.974,11.8213,1,1,0
0,0,61,1,0,68,-574.006,10.6749,1,1,0
0,0,62,1,0,36,-538.528,10.0524,1,1,0
0,0,63,1,0,4,-533.502,12.3882,1,1,0
0,0,64,1,0,123,-651.231,14.0976,1,1,0
